time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
37.1,human_1,615.4559943159252,-4.8,28.050602068866223,649.8118486389114,ego_0,0.23610247182234295,0.23610247182234295,0.23610247182234295,0.23610247182234295,0.233764823586462,0,highway_0,2,615.4559943159252,615.4559943159252,,0.017302711598649267
37.2,human_1,618.2633669439183,-4.8,28.07372627993107,649.8135811166574,ego_0,0.23355453175495716,0.23355453175495716,0.23355453175495716,0.23355453175495716,0.23124211064846634,0,highway_0,2,618.2633669439183,618.2633669439183,,0.017324777458934904
37.3,human_1,621.0730269760554,-4.8,28.096600321370804,649.8153157625193,ego_0,0.2310278185413115,0.2310278185413115,0.2310278185413115,0.2310278185413115,0.22874041439735038,0,highway_0,2,621.0730269760554,621.0730269760554,,0.017346458619609706
37.4,human_1,623.8849496051793,-4.8,28.11922629123809,649.8170525384347,ego_0,0.22852229565956023,0.22852229565956023,0.22852229565956023,0.22852229565956023,0.22625969867284823,0,highway_0,2,623.8849496051793,623.8849496051793,,0.017367759153884776
37.5,human_1,626.6991102335426,-4.8,28.14160628363276,649.8187914067487,ego_0,0.22603792318619179,0.22603792318619179,0.22603792318619179,0.22603792318619179,0.22379992394672144,0,highway_0,2,626.6991102335426,626.6991102335426,,0.017388683140051597
37.6,human_1,629.5154844723799,-4.8,28.163742388372672,649.8205323302146,ego_0,0.22357465787310044,0.22357465787310044,0.22357465787310044,0.22357465787310044,0.22136104739910678,0,highway_0,2,629.5154844723799,629.5154844723799,,0.01740923466003963
37.7,human_1,632.334048141447,-4.8,28.18563669067212,649.8222752719944,ego_0,0.22113245322441735,0.22113245322441735,0.22113245322441735,0.22113245322441735,0.21894302299447332,0,highway_0,2,632.334048141447,632.334048141447,,0.017429417797988123
37.8,human_1,635.1547772685299,-4.8,28.20729127082787,649.8240201956582,ego_0,0.21871125957306256,0.21871125957306256,0.21871125957306256,0.21871125957306256,0.21654580155750836,0,highway_0,2,635.1547772685299,635.1547772685299,,0.017449236638874766
37.9,human_1,637.9776480889211,-4.8,28.228708203912717,649.8257670651849,ego_0,0.21631102415696937,0.21631102415696937,0.21631102415696937,0.21631102415696937,0.21416933084847045,0,highway_0,2,637.9776480889211,637.9776480889211,,0.01746869526716921
38.0,human_1,640.8026370448688,-4.8,28.249889559476575,649.8275158449615,ego_0,0.2139316911949561,0.2139316911949561,0.2139316911949561,0.2139316911949561,0.21181355563857807,0,highway_0,2,640.8026370448688,640.8026370448688,,0.017487797765493696
38.1,human_1,643.6297207849943,-4.8,28.27083740125501,649.8292664997828,ego_0,0.2115732019621894,0.2115732019621894,0.2115732019621894,0.2115732019621894,0.20947841778436782,0,highway_0,2,643.6297207849943,643.6297207849943,,0.017506548213358286
38.2,human_1,646.4588761636828,-4.8,28.29155378688523,649.8310189948513,ego_0,0.20923549486522824,0.20923549486522824,0.20923549486522824,0.20923549486522824,0.20716385630219492,0,highway_0,2,646.4588761636828,646.4588761636828,,0.017524950685913865
38.3,human_1,649.2900802404457,-4.8,28.312040767629448,649.8327732957767,ego_0,0.20691850551658938,0.20691850551658938,0.20691850551658938,0.20691850551658938,0.2048698074421651,0,highway_0,2,649.2900802404457,649.2900802404457,,0.017543009252708686
38.4,human_1,652.1233102792563,-4.8,28.33230038810557,649.8345293685744,ego_0,0.2046221668088189,0.2046221668088189,0.2046221668088189,0.2046221668088189,0.20259620476121398,0,highway_0,2,652.1233102792563,652.1233102792563,,0.017560727976515977
